Sequence,Start,Stop
Fail,110837,111267
Tools selection,110647,113107
Fail,113107,113151
Adjust RIGHT hand pose,113151,113233
Localisation,113233,113305
Execution,113305,113583
Tools selection,113151,113621
Adjust RIGHT hand pose,113649,113713
Localisation,113713,113785
Pick and place,113785,113925
Tools selection,113649,113963
Adjust LEFT hand pose,114019,114085
Localisation,114085,114169
Adjust BASE pose,114541,114585
Execution,114169,114789
Adjust BASE pose,114816,114898
Localisation,114898,115003
Pick and place,115003,115063
Localisation,115115,115317
Execution,115317,115612
Pick and place,115612,115684
Localisation,115684,115741
Localisation,116711,116765
Pick and place,116765,117049
Localisation,117131,117287
Adjust RIGHT hand pose,117287,117521
Localisation,117521,117599
Execution,117599,117695
Localisation,117821,117881
Pick and place,117881,118205
Localisation,118205,118283
Execution,118283,118411
Localisation,118457,118677
Pick and place,118677,119117
Tools selection,114019,119283
Adjust RIGHT hand pose,119321,119445
Localisation,119445,119593
Execution,119593,119803
Adjust BASE pose,119857,119891
Tools selection,119321,120587
Tools selection,120633,120701
Adjust RIGHT hand pose,120723,120807
Localisation,120807,120893
Execution,120893,121121
Tools selection,120723,121157
Adjust RIGHT hand pose,121177,121361
Localisation,121361,121421
Pick and place,121421,121609
Fail,121421,121609
Tools selection,121177,121691
Adjust LEFT hand pose,121731,121853
Localisation,121853,121973
Execution,121973,122265
Adjust BASE pose,122313,122377
Localisation,122367,122425
Pick and place,122425,122528
Localisation,122546,122620
Pick and place,122730,122988
Localisation,122988,123049
Execution,123049,123091
Localisation,123155,123217
Pick and place,123217,123441
Localisation,123441,123523
Execution,123641,123697
Localisation,123749,123801
Pick and place,123801,124023
Localisation,124023,124111
Execution,124111,124547
Localisation,124547,124689
Pick and place,124689,125527
Fail,124689,125527
Tools selection,121731,125625
Adjust RIGHT hand pose,125645,125753
Localisation,125753,125937
Execution,125937,126177
Adjust BASE pose,126739,126815
